product_id,variation_id,product_name,variation_name,parent_sku,variation_sku,price_vnd,stock,gtin,variation_image,source_note
2978367574,36405056542,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Xanh Lá,180cm",,2978367574-1,80000,99,,https://cf.shopee.vn/file/7ff7964cd80a76fa49916615453ebdb7,Gom từ file Shopee sales_info
2978367574,36405056514,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Xanh Lá,160cm",,2978367574-2,80000,99,,https://cf.shopee.vn/file/7ff7964cd80a76fa49916615453ebdb7,Gom từ file Shopee sales_info
2978367574,36405056509,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Hồng Sakura,140cm",,2978367574-3,80000,99,,https://cf.shopee.vn/file/50f1dac7d1d82b77aa15017b8d014993,Gom từ file Shopee sales_info
2978367574,36405056506,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Xanh Lam,140cm",,2978367574-4,80000,99,,https://cf.shopee.vn/file/94485db03fc5ab771103730f569bc5f9,Gom từ file Shopee sales_info
2978367574,36405056535,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Vàng Kem,180cm",,2978367574-5,80000,99,,https://cf.shopee.vn/file/d91e6fa2f219b8c04394d42a85a73ee0,Gom từ file Shopee sales_info
2978367574,36405056517,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Hồng Rose,160cm",,2978367574-6,80000,99,,https://cf.shopee.vn/file/1edbc1a0de849ae741111ecb77bc9abf,Gom từ file Shopee sales_info
2978367574,36405056507,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Tím Oải Hương,140cm",,2978367574-7,80000,99,,https://cf.shopee.vn/file/71d99083c84cb386560c180b3cf15a77,Gom từ file Shopee sales_info
2978367574,36405056543,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Xanh Lam,160cm",,2978367574-8,80000,99,,https://cf.shopee.vn/file/94485db03fc5ab771103730f569bc5f9,Gom từ file Shopee sales_info
2978367574,36405056516,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Trắng,180cm",,2978367574-9,80000,99,,https://cf.shopee.vn/file/124c6b8043966be056e291840b72f2fd,Gom từ file Shopee sales_info
2978367574,36405056530,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Xanh Lá,140cm",,2978367574-10,80000,99,,https://cf.shopee.vn/file/7ff7964cd80a76fa49916615453ebdb7,Gom từ file Shopee sales_info
2978367574,36405056508,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Xám Nhạt,180cm",,2978367574-11,80000,99,,https://cf.shopee.vn/file/8413ccc04943c82f0b8cb085af8a315f,Gom từ file Shopee sales_info
2978367574,36405056540,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Đỏ,140cm",,2978367574-12,80000,99,,https://cf.shopee.vn/file/252c6e3bad79c1dca18e86dac1f4e6d8,Gom từ file Shopee sales_info
2978367574,36405056544,"Dây Giày OFFWHITE ""SHOELACES"" Phiên Bản Hologram- Dây Giày Độc Quyền Memolaces","Bảng Màu Ib chọn,180cm",,2978367574-13,80000,99,,https://cf.shopee.vn/file/a37d3c9058ff9156ecd68e34416e7755,Gom từ file Shopee sales_info
